"Categoría";"Subcategoría";"Fecha";"Detalle";Importe
"Salud";"Farmacia";"2026-01-27";"farmacia";2500,00
"Seguros";"Vehículo";"2026-02-05";"Seguro auto";77205,00
"Gastos_Fijos";"G - Otros";"2026-02-05";"rappi";9900,00
"Supermercado";"Carnicería";"2026-02-07";"menudo, pata y muslo";21777,00
"Supermercado";"Almacén";"2026-02-07";"Brownie";5000,00
"Supermercado";"Almacén";"2026-02-08";"Empanadas";4000,00
"Ocio";"Restaurantes";"2026-02-08";"cowsins";13200,00
"Transporte";"Combustible";"2026-02-10";"axion x 1680";60000,00
"Ocio";"Bares";"2026-02-12";"entrada fiesta jangueo";16100,00
"Transporte";"Auto mantenimiento";"2026-02-13";"tuerca de seguridad";26000,00
"Supermercado";"Verdulería";"2026-02-13";"Carbón chico";3400,00
"Gastos_Fijos";"Celular";"2026-02-13";"celular movbistar";13650,00
"Supermercado";"Almacén";"2026-02-13";"comida bud bunny";15740,00
"Ocio";"Restaurantes";"2026-02-14";"mayorista golosinas";11000,00
"Ocio";"Bares";"2026-02-12";"tragos jangueo";16000,00
"Transporte";"Combustible";"2026-02-18";"Bad bunny combustible + peaje";12000,00
"Supermercado";"Carnicería";"2026-02-18";"Pata y muslo y menudos";26000,00
"Gastos_Fijos";"Celular";"2026-02-19";"spotify";8300,00
"Supermercado";"Carnicería";"2026-02-20";"Pescado 1,5 kg";16170,00
"Supermercado";"Almacén";"2026-02-20";"comida";20000,00
"Ocio";"Restaurantes";"2026-02-20";"cowsins";9000,00
"Formación";"Libros";"2026-02-22";"libros";31000,00
"Salud";"Cuidado Personal";"2026-02-22";"magnesio";23000,00
"Transporte";"Combustible";"2026-02-25";"axion x 1689";72115,00
"Salud";"Sa - Otros";"2026-02-27";"veterinario";15000,00
"Ocio";"O - Otros";"2026-02-27";"juego mr preper";5600,00
"Ocio";"O - Otros";"2026-02-28";"Juntada";20000,00
"Salud";"Sa - Otros";"2026-03-01";"veterinario VACUNA";40000,00
"Ocio";"Restaurantes";"2026-03-01";"cowsins";21000,00
"Ocio";"O - Otros";"2026-03-04";"helado";9000,00
"Salud";"Gimnasio";"2026-03-04";"futbol";3000,00
"Ocio";"O - Otros";"2026-03-06";"torta cumple";18000,00
"Ocio";"O - Otros";"2026-03-06";"bebida cumple";165400,00
"Seguros";"Vehículo";"2026-03-07";"Seguro auto";79335,00
"Ocio";"O - Otros";"2026-03-07";"picada cumple";18000,00
"Ocio";"O - Otros";"2026-03-07";"hielo cumple";8000,00
"Ocio";"O - Otros";"2026-03-07";"golosinas dientitos";5000,00
"Ocio";"O - Otros";"2026-03-07";"bengalita cumple";2000,00
"Ocio";"O - Otros";"2026-03-07";"bebida cumple";59800,00
"Transporte";"Combustible";"2026-03-07";"axion x 1780";70000,00
"Supermercado";"Carnicería";"2026-03-10";"Menudos x3kg oviedo";6100,00
"Supermercado";"Carnicería";"2026-03-10";"carne picada";11492,00
"Gastos_Fijos";"Celular";"2026-03-11";"celular movistar";14762,00
"Transporte";"Auto mantenimiento";"2026-03-12";"telepase";9000,00
"Transporte";"Auto mantenimiento";"2026-03-12";"Solicitud informe de dominio";1770,00
"Supermercado";"Carnicería";"2026-03-12";"Menudos x10kg abasto";9000,00
